,유적지명,시도명,시군구명,경도,위도
1172,김봉호가옥,광주광역시,광산구,126.801327,35.17785736
1173,최학순가옥,강원도,정선군,128.6855023,37.37168769
1174,남진용가옥,강원도,강릉시,128.9040049,37.72651341
1175,옥천경헌당,충청북도,옥천군,127.6643472,36.25205781
1176,난계생가,충청북도,영동군,127.7024595,36.21800706
1177,봉강리정씨고택,전라남도,보성군,127.0449797,34.66893997
1178,대산동월곡댁,경상북도,성주군,128.3277655,35.93056786
1179,갈암종택,경상북도,영덕군,129.3680725,36.55145499
1180,서울민박,경상북도,안동시,128.5154114,36.53846652
1181,영동소석고택,충청북도,영동군,127.712538,36.21817287
1182,천안향교,충청남도,천안시 서북구,127.1212913,36.7943233
1183,해평길씨재실,충청남도,금산군,127.5735358,36.03324643
1184,동천석실,전라남도,완도군,126.5423251,34.15236916
1185,사우당종택,경상북도,성주군,128.2149837,35.82845149
1186,반기문옛집,충청북도,충주시,127.9275884,36.97356653
1187,창석사당,경상북도,상주시,128.1078082,36.32691451
1188,평창대하리전통가옥,강원도,평창군,128.3466738,37.31391771
1189,육부촌,경상북도,경주시,129.2869643,35.84365904
1190,이동녕선생생가지,충청남도,천안시 동남구,127.2395781,36.79053003
1191,장흥존재고택,전라남도,장흥군,126.9502809,34.54952309
1192,이범재가옥,전라남도,보성군,127.0336626,34.74149226
1193,부곡면이씨고가,경상남도,창녕군,128.6064488,35.43771582
1194,고병숙가옥,경상북도,문경시,128.2564238,36.62922381
1195,송소종택,경상북도,안동시,128.7365046,36.62322133
1196,의병장곽재우생가,경상남도,의령군,128.343994,35.43917609
1197,신경섭가옥,충청남도,보령시,126.6681259,36.42095513
1198,동부사택,강원도,동해시,129.1177245,37.50636727
1199,송용억가실,대전광역시,대덕구,127.4427577,36.36521659
1200,홍난파생가,경기도,화성시,126.8338838,37.17908717
1201,정원태가옥,충청북도,제천시,128.1724474,37.0862991
1202,이재혁가옥,전라남도,함평군,126.5121956,35.066532
1203,양회두가옥,전라남도,화순군,126.9115939,34.98352076
1204,윤영채가옥,전라북도,남원시,127.3397047,35.3974627
1205,윤일선가옥,충청남도,아산시,127.0193885,36.89741934
1206,심상진가옥,강원도,강릉시,128.8911102,37.78600988
1207,노무현대통령생가,경상남도,김해시,128.7713226,35.31439628
1208,민세안재홍생가,경기도,평택시,127.0189624,37.05711882
1209,김병호고가,경기도,양평군,127.5860737,37.53520546
1210,민성기가옥,강원도,춘천시,127.7685312,37.89996331
1211,덕치리초가,전라북도,남원시,127.4946282,35.39752186
1212,오담고택,경상남도,함양군,127.7667086,35.56644027
1213,성산여씨하회택,경상북도,김천시,128.0724499,36.03625016
1214,죽유종택,경상북도,고령군,128.2242161,35.68431546
1215,박덕우가옥,경상북도,영주시,128.6216606,36.73141968
1216,토계동향산고택,경상북도,안동시,128.7360175,36.58305416
1217,탁청정종가,경상북도,안동시,128.8030343,36.67378849
1218,유기방가옥,충청남도,서산시,126.5734766,36.82474841
1219,최윤덕장군생가지,경상남도,창원시 의창구,128.5771729,35.343708
1220,망상전통한옥,강원도,동해시,129.075828,37.60309141
1221,감호정사,경상북도,칠곡군,128.4313762,35.99437927
1222,김갑동가옥,경상북도,봉화군,128.8910215,36.87927623
1223,아원고택,전라북도,완주군,127.2446127,35.9035551
1224,김명관고택,전라북도,정읍시,127.0199623,35.61615498
1225,김근수가옥,강원도,속초시,128.5995278,38.16452148
1226,만정김소희생가,전라북도,고창군,126.6768133,35.54602353
1227,봉화향교회관,경상북도,봉화군,128.7402079,36.88945459
1228,김한종의사생가지,충청남도,예산군,126.833203,36.56671551
1229,청마생가,경상남도,통영시,128.4351801,34.84506058
1230,전주최씨학동종가,경상남도,고성군,128.193396,34.95042101
1231,이남규선생고택,충청남도,예산군,126.9250655,36.66810159
1232,독낙당,경상북도,영천시,129.0364961,36.08998244
1233,고진하가옥,강원도,영월군,128.3856195,37.17523878
1234,육영수생가,충청북도,옥천군,127.5874608,36.31804202
1235,대산동한주종택,경상북도,성주군,128.3285208,35.93042679
1236,의양리권진사댁,경상북도,봉화군,128.9118848,36.9447107
1237,칠계재,경상북도,안동시,128.6636738,36.61318179
1238,백산서원전국사림문중,경상북도,영주시,128.5947659,36.88950594
1239,동계선생가,경상남도,거창군,127.8311942,35.75567844
1240,이진성지,전라남도,해남군,126.6173406,34.39642132
1241,적오산성,대전광역시,유성구,127.3681656,36.41643389
1242,서산산성,전라북도,고창군,126.6385119,35.45950216
1243,평택용성리성지,경기도,평택시,126.9426459,37.01052101
1244,동북공심돈,경기도,수원시 팔달구,127.0244325,37.2893327
1245,고봉산성,대전광역시,동구,127.4726708,36.3582791
1246,용암산성,대구광역시,동구,128.6762365,35.92596507
1247,교동읍성,인천광역시,강화군,126.2973711,37.76965842
1248,고려성,강원도,강릉시,129.0082628,37.70779711
1249,부모산성,충청북도,청주시 흥덕구,127.409401,36.63394316
1250,대덕산성,대구광역시,남구,128.573733,35.82177482
1251,서생포만호진성,울산광역시,울주군,129.3314359,35.39155661
1252,서생포왜성,울산광역시,울주군,129.3345274,35.38328284
1253,금구산성,전라북도,김제시,127.0257825,35.76966324
1254,서운산성,경기도,안성시,127.283389,36.92982026
1255,한산읍성,충청남도,서천군,126.8097508,36.07916759
1256,옥녀봉성,충청남도,공주시,127.1343963,36.45941914
1257,홍성장곡산성,충청남도,홍성군,126.7289681,36.49260249
1258,흑응산성,경상북도,예천군,128.4460275,36.65955621
1259,남미질부성,경상북도,포항시 북구,129.3519834,36.10567823
1260,제천덕주산성,충청북도,제천시,128.0872318,36.86035027
1261,주산성,경상북도,고령군,128.2611034,35.73003257
1262,앙성온천,충청북도,충주시,127.7947117,37.09518814
1263,법당,인천광역시,강화군,126.4450151,37.60848273
1264,은선리삼층석탑,전라북도,정읍시,126.7936543,35.64369236
1265,동석불입상,경상북도,군위군,128.6540468,36.06098558
1266,계성리석등,강원도,화천군,127.5886993,38.09592771
1267,대적광전,전라북도,김제시,127.0469576,35.74531173
