,사업장명,시도명,시군구명,경도,위도
695,모란미술관,경기도,남양주시,127.3233557754293,37.64786117860606
696,양주시립장욱진미술관,경기도,양주시,126.94731524734358,37.729506813240704
697,안젤리미술관,경기도,용인시,127.23067451215476,37.18164718022923
698,종이미술관,경기도,안산시,126.5755767626445,37.22170025221835
699,CICA미술관,경기도,김포시,126.59711820608709,37.60551629703268
700,수원시립아이파크미술관,경기도,수원시,127.01496661521712,37.27994686595777
701,오산시립미술관,경기도,오산시,127.07616266868317,37.15752021274348
702,설미재 미술관,경기도,가평군,127.48141629471267,37.658142782022935
703,일지미술관,경기도,가평군,127.34445435472028,37.82995662005823
704,정문규미술관,경기도,파주시,126.68735885028964,37.798340615615906
705,영은미술관,경기도,광주시,127.26788987204708,37.410847733414485
706,서호미술관,경기도,남양주시,127.35054066995615,37.630008161588066
707,보름산미술관,경기도,김포시,126.76014080124426,37.59352322414397
708,아람미술관,경기도,고양시,126.77386645772528,37.65877450600367
709,선바위미술관,경기도,과천시,126.99818701516554,37.449088484450314
710,한국미술관,경기도,용인시,127.13117399945472,37.306212428084194
711,닻미술관,경기도,광주시,127.27034360727008,37.37759834084125
712,독립기념관,충청남도,천안시,127.222648,36.7836726
713,백석대학교 기독교박물관,충청남도,천안시,127.18496937596692,36.83716443564506
714,김해 화포천습지 생태학습관,경상남도,김해시,128.7876828614761,35.30797940413832
715,불국사박물관,경상북도,경주시,129.33101997696713,35.787104802578945
716,한국조리박물관,경기도,안성시,127.48941296690153,37.088249455366835
717,영천역사박물관,경상북도,영천시,128.92997,36.0186159
718,MG새마을금고 역사관,경상남도,산청군,127.88072384206762,35.41716505816634
719,광주가톨릭박물관,광주광역시,서구,126.86820567085636,35.14747777422626
720,세계유교문화박물관,경상북도,안동시,128.84525531521473,36.69144353723164
721,예산보부상박물관,충청남도,예산군,126.651001,36.6910343
722,한국전통문화대학교박물관,충청남도,부여군,126.8961314504089,36.30512781196248
723,덕산세계인형박물관,충청남도,예산군,126.66219290909726,36.69010678947622
724,순성미술관,충청남도,당진시,126.71188205633256,36.8405102391452
725,전주전통술박물관,전라북도,전주시,127.15271121769794,35.81424483068884
726,전북대학교부속박물관,전라북도,전주시,127.12881036368306,35.845182617800454
727,예수병원의학박물관,전라북도,전주시,127.13439608639047,35.81153666461065
728,남원향토박물관,전라북도,남원시,127.386260512389,35.39894376122269
729,벽골제농경문화박물관,전라북도,김제시,126.85191686758272,35.75213423018866
730,부안원숭이학교 연사박물관,전라북도,부안군,126.67079863444627,35.665395500125044
731,원불교역사박물관,전라북도,익산시,126.95082231608295,35.969586578054674
732,전주한지박물관,전라북도,전주시,127.09779489466415,35.84586707307287
733,왕궁리유적전시관,전라북도,익산시,127.05530830660011,35.96900845622494
734,전주전통술박물관,전라북도,전주시,127.15271121769794,35.81424483068884
735,전주대학교박물관,전라북도,전주시,127.0875485961135,35.807919986391354
736,원광대학교박물관,전라북도,익산시,126.95082231608295,35.969586578054674
737,전주역사박물관,전라북도,전주시,127.0926003952715,35.79814582903846
738,동진수리민속박물관,전라북도,김제시,inf,inf
739,고창판소리박물관,전라북도,고창군,126.70198466278507,35.4297100106177
740,국립전주박물관,전라북도,전주시,127.08895452127986,35.798529931013995
741,순창장류박물관,전라북도,순창군,127.11016615224644,35.3671332299523
742,부안청자박물관,전라북도,부안군,126.65015379503791,35.608609902114395
743,무주곤충박물관,전라북도,무주군,127.75781448632628,36.006449005447536
744,진안군 가위박물관,전라북도,진안군,127.41417830005594,35.76315772861537
745,누벨백미술관,전라북도,전주시,127.10416373385242,35.815132503906476
746,완주책박물관,전라북도,완주군,127.06516360298787,35.90484187169812
747,금구원야외조각미술관,전라북도,부안군,126.48815210910729,35.61788967587201
748,벽천미술관,전라북도,김제시,126.85191686758272,35.75213423018866
749,전라북도도립미술관,전라북도,완주군,127.10623056438891,35.72527700736733
750,전주미술관,전라북도,전주시,127.15329867817735,35.81434500019911
751,진안역사박물관,전라북도,진안군,127.41693463360909,35.769566664561665
752,W미술관,전라북도,익산시,126.9878533579253,35.9500520582735
753,수지미술관,전라북도,남원시,127.34669986015801,35.32432679161876
754,미륵사지유물전시관,전라북도,익산시,127.02831326484667,36.01878193055118
755,익산시보석박물관,전라북도,익산시,127.11623648803233,36.01783206976416
756,카메라영상 박물관,전라북도,완주군,127.20574862743432,35.850239277050505
757,동학농민혁명기념관,전라북도,정읍시,126.82359236844574,35.62710537387765
758,전라북도산림박물관,전라북도,순창군,126.92043919271097,35.476358635113876
759,충간공 보물 제651호 박물관,전라북도,익산시,127.01533426269955,36.02333161721917
760,성보박물관,전라북도,고창군,126.56302748679224,35.49014494189954
761,칠곡호국평화기념관,경상북도,칠곡군,128.40265706502674,36.015535606392056
762,(재)경상북도문화재연구원 박물관,경상북도,영천시,128.8966286115178,35.94125003762257
763,우륵박물관,경상북도,고령군,128.2626779658865,35.739267658155875
764,삼성현역사문화관,경상북도,경산시,128.79589086313868,35.798461321904206
765,예천박물관,경상북도,예천군,128.51342613787776,36.69745172367867
766,문경자연생태박물관,경상북도,문경시,128.07765505966148,36.74964845158175
767,문경도자기박물관,경상북도,문경시,128.08324773867878,36.73829198673318
768,영일민속박물관,경상북도,포항시,129.34636142622693,36.10791637126111
769,김천세계도자기박물관,경상북도,김천시,128.01020923622028,36.114288984662196
770,경상북도산림과학박물관,경상북도,안동시,128.82434545180965,36.711313302766605
771,안동민속박물관,경상북도,안동시,128.76593800644082,36.576530732376504
772,전통문화콘텐츠박물관,경상북도,안동시,128.7333436513641,36.56331900045606
773,장보고 기념관,전라남도,완도군,126.729438756018,34.35232330582112
774,전라남도농업박물관,전라남도,영암군,126.45817179175096,34.7741540480881
775,나주배박물관,전라남도,나주시,inf,inf
776,목포자연사문화박물관,전라남도,목포시,126.421006,34.7935041
777,목포생활도자박물관,전라남도,목포시,126.42016467776753,34.79093748725844
778,목포문학전시관,전라남도,목포시,126.41719814343611,34.79105085597688
779,선암사성보박물관,전라남도,순천시,127.33009661799322,34.99381351310138
780,영암도기박물관,전라남도,영암군,126.61947518457497,34.75769093514544
781,한국천연염색박물관,전라남도,나주시,126.66195906149622,34.99143565962677
782,수다라성보박물관(영광불갑사),전라남도,영광군,126.54905400544787,35.198010408098725
783,땅끝해양 자연사박물관,전라남도,해남군,126.528803478173,34.298767972632334
784,고려청자박물관,전라남도,강진군,126.79946339143181,34.50556089983479
785,전라남도 산림박물관,전라남도,완도군,126.67185128582156,34.35510821879969
786,귀족호도,전라남도,장흥군,126.91843871657406,34.67219262347827
787,한국차박물관,전라남도,보성군,127.08430312491964,34.73349422223191
788,동신대학교문화박물관,전라남도,나주시,126.71778112353914,35.04926865355131
789,규남박물관,전라남도,화순군,127.07938835435766,35.10758423860898
790,남도전통미술관,전라남도,진도군,126.30748921225633,34.4633543598586
791,해남공룡박물관,전라남도,해남군,126.43928288155931,34.58619786241734
792,대흥사 서산대사박물관,전라남도,해남군,126.61549798536697,34.47323822706638
793,히든트릭아트뮤지엄,전라남도,담양군,127.011402,35.321594
794,순천시립 뿌리깊은나무박물관,전라남도,순천시,127.4865454008001,34.94775816322157
795,웅천도요지전시관,경상남도,창원시,128.681272,35.2283837
796,금산사 성보박물관,전라북도,김제시,127.0530121693389,35.71967833836534
797,군산근대역사박물관,전라북도,군산시,126.71117106023539,35.98793905906406
798,어진박물관,전라북도,전주시,127.14872842306588,35.81266363760948
799,마한박물관,전라북도,익산시,127.05897478988058,35.997615302579675
800,정읍시립박물관,전라북도,정읍시,126.89374198387726,35.52502757865083
801,장생포고래박물관,울산광역시,남구,129.3814742181449,35.49994765435604
802,울산대학교박물관,울산광역시,남구,129.25612456354656,35.53871299082715
803,울산대곡박물관,울산광역시,울주군,129.16826384733344,35.616278035827015
804,울산암각화박물관,울산광역시,울주군,129.16934658860382,35.60540476120721
805,울산박물관,울산광역시,남구,129.30806544575665,35.52440829331525
806,울산 해양박물관,울산광역시,울주군,129.35368027279432,35.35892059072006
807,울주민속박물관,울산광역시,울주군,129.2801144940026,35.43352118090015
808,울산옹기박물관,울산광역시,울주군,129.2786307801819,35.43227578780505
809,외솔기념관,울산광역시,중구,129.3466983267526,35.57190600300437
810,여수미술관,전라남도,여수시,127.65930741151763,34.75856557496228
811,시문학파기념관,전라남도,강진군,126.76512430566731,34.6394998979783
812,아쿠아플라넷 여수,전라남도,여수시,127.74790053459698,34.74344510877303
813,여수민속전시관,전라남도,여수시,127.66140007131159,34.75783290869188
814,김대중노벨평화상기념관,전라남도,목포시,126.39092906873202,34.77995441159542
815,노적봉예술공원미술관,전라남도,목포시,126.38012071257485,34.78543343366107
816,화엄사성보박물관,전라남도,구례군,127.49668669893329,35.25373329993982
817,백호문학관,전라남도,나주시,126.66606889930851,34.99416599748469
818,강진군 다산박물관,전라남도,강진군,126.7487665964548,34.573611541903055
819,와보랑께 박물관,전라남도,강진군,126.82610473564885,34.69689891809666
820,담양 우표박물관,전라남도,담양군,126.88884114459513,35.273759573235004
821,고산 윤선도 박물관,전라남도,해남군,126.62015760065935,34.54712884123971
822,한국민화뮤지엄,전라남도,강진군,126.8048045285202,34.50581156294629
823,한국압화박물관,전라남도,구례군,127.4597683386071,35.194084297859476
824,목포근대역사관,전라남도,목포시,126.38133025746139,34.784988599440155
825,진도역사관,전라남도,진도군,126.30748921225633,34.4633543598586
826,고흥운대분청사기문화관,전라남도,고흥군,127.32285247107,34.62526064992617
827,나주배박물관,전라남도,나주시,126.76576520448995,35.03156749742219
828,미암박물관,전라남도,담양군,127.02081067959223,35.2568585376272
829,나야나 교육박물관,전라남도,담양군,126.98260949095828,35.32252013914615
830,고흥갑재민속전시관,전라남도,고흥군,127.31175947093242,34.6490068979782
831,도갑사성보관,전라남도,영암군,126.66205480536506,34.75002517474347
832,대원사 티벳박물관,전라남도,보성군,127.13151687528806,34.956444151404156
833,아천미술관,전라남도,영암군,126.706457,34.894694
834,아산조방원미술관,전라남도,곡성군,127.12161985533031,35.29419904120862
835,백민미술관,전라남도,보성군,127.160091,34.9669512
836,장전미술관,전라남도,진도군,126.23696597380253,34.42683528054132
837,다산미술관,전라남도,화순군,127.12551034250171,35.020498061867194
838,잠월미술관,전라남도,함평군,126.55204996696445,35.16972487100106
839,명지미술관,전라남도,담양군,126.99706685723307,35.2067872255328
840,이안미술관,전라남도,영암군,126.48036,34.7570407
841,도화헌미술관,전라남도,고흥군,127.32587238577274,34.446129058772385
842,남포미술관,전라남도,고흥군,127.45600408277053,34.60080600507587
843,대담미술관,전라남도,담양군,126.9826728395901,35.32272149034549
844,무안군오승우미술관,전라남도,무안군,126.41441951451766,34.849694734060364
845,학명미술관,전라남도,강진군,126.71455502421031,34.739150544769714
846,함평군립미술관,전라남도,함평군,126.51949422629754,35.052318094387715
847,우종미술관,전라남도,보성군,127.21679012551536,34.82222344129901
848,영암군립하정웅미술관,전라남도,영암군,126.62126329582553,34.75800347843499
