,체험지명,시도명,시군구명,경도,위도
178,담비의차실,서울,종로구,126.9678945,37.57775084
179,오도르 가죽공방,서울,종로구,126.9609952,37.57427813
180,아트돌스튜디오,서울,종로구,126.969166,37.57997843
181,시서화,서울,종로구,126.9606829,37.57400773
182,인클레이,서울,종로구,126.9612545,37.57416108
183,미세기화실,서울,종로구,126.9667527,37.5740204
184,최정아갤러리,서울,종로구,126.9663343,37.57318236
185,사계절 매듭이야기,서울,종로구,126.9683646,37.56895725
186,반고흐연구소,서울,종로구,126.9749024,37.56972647
187,드로우유어무드,서울,종로구,126.9696689,37.56829086
188,아트풀그라운드,서울,종로구,126.9700672,37.56857568
189,두손 갤러리,서울,중구,126.9739567,37.56799636
190,취미미술아트포레,서울,종로구,126.9795009,37.57207896
191,삼양사,서울,중구,126.9758172,37.56915723
192,도담공방,서울,종로구,126.979851,37.57085907
193,테라코타,서울,종로구,126.9799234,37.57084467
194,올미아트스페이스,서울,종로구,126.9827074,37.57365982
195,도화아트,서울,종로구,126.982012,37.57538422
196,시민청 소리갤러리,서울,중구,126.9778284,37.56631769
197,송예진가죽공방,서울,중구,126.9693704,37.56733573
198,쥬트아뜰리에 정동점,서울,중구,126.9721689,37.5662336
199,떼아트갤러리,서울,종로구,126.9662318,37.5693558
200,MOSOON 모순,서울,중구,126.97217,37.56624982
201,내동생,서울,중구,126.9695242,37.56780068
202,피카소와모던아트,서울,중구,126.9737446,37.56587717
203,갤러리조선,서울,종로구,126.9814788,37.57992695
204,갤러리진선,서울,종로구,126.9804686,37.58138279
205,갤러리엠에치케이,서울,종로구,126.9809574,37.58238478
206,청엠아트컴퍼니,서울,종로구,126.9813882,37.5798981
207,갤러리단정,서울,종로구,126.9824206,37.58023343
208,이화익갤러리,서울,종로구,126.982018,37.57858275
209,단주,서울,종로구,126.9809123,37.58166037
210,도로시 살롱,서울,종로구,126.9814726,37.58214429
211,월하미술,서울,종로구,126.9818526,37.57905124
212,아원공방,서울,종로구,126.9821988,37.5797865
213,크리스티 한국지사,서울,종로구,126.980568,37.58227659
214,심여화랑,서울,종로구,126.9809224,37.57764915
215,고미술동연,서울,종로구,126.9810621,37.58008185
216,신단비이석예술 갤러리,서울,종로구,126.9813701,37.57997378
217,록갤러리,서울,종로구,126.9806461,37.5778329
218,이화아트갤러리,서울,중구,126.9706929,37.56623324
219,갤러리헬렌에이,서울,종로구,126.9668262,37.56908748
220,예화원,NaN,NaN,126.9788381,37.56606199
221,민속몰(MINSOKMALL),서울,종로구,126.9644301,37.56861015
