,상호명,시도명,시군구명,경도,위도
132,알프스클럽펜션,강원도,횡성군,128.197382130137,37.4882888200944
133,경포라파힐펜션,강원도,강릉시,128.894155938735,37.8127956763062
134,진영호민박,강원도,강릉시,128.82453776077,37.9067923607721
135,펜션푸름,강원도,홍천군,127.707892423464,37.6915997099177
136,꿈의궁전모텔,강원도,철원군,127.436544298532,38.2376345752464
137,하늘뜨락펜션,강원도,인제군,128.283113533458,38.0224352213824
138,힐튼모텔,강원도,원주시,128.004241920572,37.3648587239609
139,호산파크모텔,강원도,삼척시,129.337527977829,37.1733814120579
140,그랜드하우스모텔,강원도,속초시,128.524721315837,38.1671239013237
141,경포감자꽃펜션,강원도,강릉시,128.887435444843,37.8073503122248
142,예술인촌캠핑장,강원도,평창군,128.382163134609,37.5026044106325
143,강풍경파크,강원도,인제군,128.303647283608,38.1844996236607
144,냉장계곡쉼터,강원도,인제군,128.279502855859,37.8752266802187
145,버즈303펜션,강원도,평창군,128.309552741087,37.5879328555882
146,파인트리펜션,강원도,춘천시,127.642959473265,37.7896892296344
147,맨하탄모텔,강원도,원주시,127.980799044498,37.3863847098899
148,빅토리아파크,강원도,강릉시,128.901958398854,37.8034647645578
149,작은통나무집,강원도,평창군,128.270669483308,37.4597503073075
150,김장소민박,강원도,인제군,128.19354535357,38.1353406612301
151,파주여인숙,강원도,홍천군,127.967748741701,37.7701414494385
152,파크민박,강원도,정선군,128.812350932766,37.2274996617189
153,설악골,강원도,속초시,128.560230678034,38.1858082658905
154,해피데이펜션,강원도,홍천군,127.7311914526,37.6860415309667
155,그랜드파크,강원도,홍천군,127.610322098427,37.6587715125437
156,은빛여울펜션,강원도,철원군,127.268217919849,38.204073042081
157,코코글램핑,강원도,홍천군,127.579756587948,37.7287054247993
158,산으로캠핑장,강원도,홍천군,127.568759640809,37.713744351791
159,봄향기펜션,강원도,홍천군,127.770515092754,37.6740594184833
160,김정복라마다설악해양호텔,강원도,속초시,128.610098081904,38.1742525663668
161,하늘숲펜션,강원도,홍천군,127.964184619808,37.816985677421
162,꿈꾸는강펜션,강원도,영월군,128.52922190473,37.2731678039717
163,삼성모텔,강원도,철원군,127.215936868564,38.2092854479125
164,설악모텔,강원도,인제군,128.204730370246,38.1251765506258
165,사랑채민박,강원도,인제군,128.333270586396,38.0442792280462
166,안개자니민박,강원도,평창군,128.617426889639,37.7435157187398
167,아날로그76펜션,강원도,강릉시,128.894879281507,37.7993290324851
168,강나들펜션,강원도,춘천시,127.693556376021,37.9808492581522
169,동화장,강원도,속초시,128.590453464164,38.2036525636349
170,블루아라펜션,강원도,양양군,128.618499797535,38.0662711399389
171,금학산관광농원민박,강원도,홍천군,127.77442348324,37.7198496514299
172,강남텔,강원도,화천군,127.520350670981,38.071244507971
173,핑크펜션,강원도,철원군,127.283089487871,38.1883708825999
174,망상펜션,강원도,동해시,129.091055690156,37.5924058120825
175,아뜰리에펜션,강원도,영월군,128.325313592188,37.2952872381363
176,투게더펜션,강원도,강릉시,128.834431282472,37.878602282273
177,솔하우스,강원도,양양군,128.56049287625,38.0469924927842
178,숲속의향기펜션,강원도,홍천군,127.669031037449,37.6334777987444
179,정명수펜션,강원도,강릉시,128.793578441867,37.6641974626377
180,더갤러리아,강원도,속초시,128.523899729248,38.1671365789162
